Albums,Bio,Born,Born In,Dies,Listeners,Period,Similar Composers,Tags,Top Songs,composer,wiki
"['John Kukuzelis - Orthodox Chants', 'John Kukuzelis - (null)']","<a href=""https://www.last.fm/music/John+Kukuzelis"">Read more on Last.fm</a>",31 October 1291,,9 June 1361 (aged 69),2,Medieval,[],[],"['John Kukuzelis - Poltiyu Usnuv', 'John Kukuzelis - Terirem', 'John Kukuzelis - Gavriilu Provyashtavshu Tebya', 'John Kukuzelis - Dostoino Est (2nd Mode)']",John Kukuzelis,/wiki/John_Kukuzelis
"['None - Damp Chill of Life', 'None - none', 'None - Life has gone on long enough', 'None - The Rising', 'None - (null)']","There are several artists called None;  1) NONE is an atmospheric/depressive black metal band from Portland, USA, formed in 2015.  2) None (AKA %20) is also the alias of experimental sound artist Peter Andrew Lopez.  3) Polish hard rock / metalcore / nu metal band created in Bydgoszcz in 1999.  4) Slovakian alternative rock band - written ""nOne"" - www.bandzone.cz/none  5) Darkwave artist Anna Nin  6) NONE is a pv/grind-influenced hardcore band from Vancouver, Washington, U.S. www.myspace.com/nonevancouver  <a href=""https://www.last.fm/music/None"">Read more on Last.fm</a>",31 October 1291,,9 June 1361 (aged 69),21288,Medieval,"['Nocturnal Depression', 'Totalselfhatred', 'Hermóðr', 'Advent Sorrow', 'My Useless Life']",[],"['None - The Damp Chill of Life', 'None - Fade', ""None - It's Painless to Let Go"", 'None - Cease', 'None - You Did a Good Thing', 'None - A World, Dead and Gray', 'None - I Yearn to Feel', ""None - A Chance I'd Never Have"", 'None - Bleak, Damp, And Dead', 'None - none']","Denis, King of Portugal",/wiki/Denis%2C_King_of_Portugal
[],"<a href=""https://www.last.fm/music/Franco+of+Cologne"">Read more on Last.fm</a>",31 October 1291,,9 June 1361 (aged 69),0,Medieval,[],[],[],Franco of Cologne,/wiki/Franco_of_Cologne
"['Adam de la Halle - ADAM DE LA HALLE: Le Jeu de Robin et de Marion', 'Adam de la Halle - Adam De La Halle: Jeu De Robin Et De Marion (Le)', 'Adam de la Halle - Traditional Swedish Songs of Spring & Summer', 'Adam de la Halle - Music of the Gothic Era', 'Adam de la Halle - Medieval & Gregorian Chant']","Adam de la Halle (also known as Adam le Bossu (Adam the Hunchback) 1237?-1288) was a French-born trouvère, poet and musician, who broke with the long-established tradition of writing liturgical poetry and music to be an early founder of secular theater in France.  Adam's other nicknames, ""le Bossu d'Arras"" and ""Adam d'Arras"", suggest that he came from Arras, France. Two of his works, Le Jeu de Robin et Marion and Le Jeu de la feuillée are considered to be forerunners of the comic opera. <a href=""https://www.last.fm/music/Adam+de+la+Halle"">Read more on Last.fm</a>",1237,,1288 (aged 51),5739,Medieval,"['Jacopo da Bologna', 'Francesco Landini', 'Ensemble PAN', 'John Dunstable', 'La Reverdie']",[],"[""Adam de la Halle - Mout me fu grief li departir / Robin m'aime / Portare"", 'Adam de la Halle - Scene II: Bergeronnete douche baisselete (Robin, Marion)', 'Adam de la Halle - Scene VI: A Dieu (Adam / Super)', 'Adam de la Halle - Pilgrim’s Prologue (after Li jus du Pelerin)', 'Adam de la Halle - Scene I: Marion is happily minding her own business…Robins m’aime (Marion)', ""Adam de la Halle - J'os bien a m'amie parler"", 'Adam de la Halle - Scene I: Rondeau II: Li dous regars', 'Adam de la Halle - De ma dame vient', 'Adam de la Halle - Scene IV: The Knight returns to find his bird...', 'Adam de la Halle - Scene V: Aveuc tele compaignie (tous)']",Adam de la Halle,/wiki/Adam_de_la_Halle
"['Guiraut Riquier - The Last of the Great Troubadours: The Art & Times of Guiraut Riquier, 1230-1292', 'Guiraut Riquier - Discover Early Music', 'Guiraut Riquier - Music of the Troubadours', 'Guiraut Riquier - Medieval Spirits', 'Guiraut Riquier - La Trobà: Anthologie chantee des Troubadours (XIIe & XIIIe siècles), Vol. 5']","Guiraut Riquier (c.1230 - 1292) is among the last of the Provençal troubadours. He is well known because of his great care in writing out his works and keeping them together — the New Grove Encyclopedia considers him an ""anthologist"" of his own works.  He served under Aimery IV, Viscount of Narbonne, as well as Alfonso el Sabio, King of Castile. He is also believed to have worked under Henry II, Count of Rodez. <a href=""https://www.last.fm/music/Guiraut+Riquier"">Read more on Last.fm</a>",1230,"Narbonne, Aude, Occitanie, France",1292 (aged 62),1358,Medieval,"['Berenguier de Palou', 'Giraut de Bornelh', 'Jaufre Rudel', 'Raimon de Miraval', 'Ramon Llull']",[],"['Guiraut Riquier - Humils forfaitz', 'Guiraut Riquier - La Segonda retroencha', 'Guiraut Riquier - Rassa, tan creis', ""Guiraut Riquier - Au Temps D'auost"", 'Guiraut Riquier - Humils, forfaitz, repres e penedens: Humils forfaitz', 'Guiraut Riquier - Humils, forfaitz, repres e penedens', 'Guiraut Riquier - Jesus Christ', 'Guiraut Riquier - The Catigas de Santa Maria of Alfonso the Wise: Maravillosos et piadosos', 'Guiraut Riquier - Planh for the Lord of Narbonne', 'Guiraut Riquier - Cantinga']",Guiraut Riquier,/wiki/Guiraut_Riquier
"['Alfonso X of Castile - Cantigas de Santa Maria', 'Alfonso X of Castile - España', 'Alfonso X of Castile - Songs for King Alfonso X of Castile and Leon (Sequentia)', 'Alfonso X of Castile - Caballeros (Paniagua)', 'Alfonso X of Castile - Virgen de Atocha - Cantigas de Madrid (Paniagua)']","<a href=""https://www.last.fm/music/Alfonso+X+of+Castile"">Read more on Last.fm</a>",1230,"Narbonne, Aude, Occitanie, France",1292 (aged 62),19,Medieval,[],[],"['Alfonso X of Castile - Cantigas de Santa Maria: Nenbressete Madre de Deus', 'Alfonso X of Castile - Cantigas de Santa Maria: Quen a Omagen da Virgen', 'Alfonso X of Castile - Cantigas de Santa Maria, No. 384: A Que Por Muy Gran Fremosura', ""Alfonso X of Castile - Cantigas de Santa Maria, No. 391: Como Pod'a Groriosa"", 'Alfonso X of Castile - Cantigas de Santa Maria, No. 322: A Virgen, Que de Deus Madre', 'Alfonso X of Castile - Cantigas de Santa Maria, No. 159: Non Sofre Santa Maria', 'Alfonso X of Castile - Cantigas de Santa Maria: Como Jesucristo Fezo a San Pedro', 'Alfonso X of Castile - Cantigas de Santa Maria, No. 340: Virgen Madre Groriosa', 'Alfonso X of Castile - Cantigas de Santa Maria: Maravillosos e Piadosos', 'Alfonso X of Castile - Cantigas de Santa Maria, No. 150: A Que Deus Ama, Amar Devemos']",Alfonso X of Castile,/wiki/Alfonso_X_of_Castile
"['Theobald I of Navarre - (null)', 'Theobald I of Navarre - Art of the Trouvères (Northern France, 12th & 13th centuries)']","<a href=""https://www.last.fm/music/Theobald+I+of+Navarre"">Read more on Last.fm</a>",1230,"Narbonne, Aude, Occitanie, France",1292 (aged 62),4,Medieval,[],[],"['Theobald I of Navarre - Robert veez de Perron (instrumental)', 'Theobald I of Navarre - Commencerai à faire un lai', 'Theobald I of Navarre - Deus est ensi comme li pellicanz']",Theobald I of Navarre,/wiki/Theobald_I_of_Navarre
"['Neidhart von Reuental - Unueberwindlich Starker Held, St. Michael / Medieval Music, Werner Hackl', 'Neidhart von Reuental - Alfonso X: Cantiga No. 109 / Bernger Von Horheim: Nu Enbeiz Ich Doch Des Trankes Nie / Vaqueiras, R.: Kalenda Maya (Codex Manesse) (I Ciarlatani)', 'Neidhart von Reuental - Classical Hits of Early Music', 'Neidhart von Reuental - Vocal Music (German Courtly Song) - Neidhart Von Reuental / Monch Von Salzburg / Oswald Von Wolkenstein', 'Neidhart von Reuental - (null)']","Neidhart von Reuenthal (1190-1245) was one of the Minnesingers - the German equivalent of the Troubadours. He was a Bavarian knight and minstrel in the service of Otto II. Not much is known about his life, which is a pity, as he was one of the most individual and out-standing personalities in the entire Minnesinger 'pantheon'. What is known is that his sharp wit and ruthless sense of humor made him many enemies both in and out of court, and he struck <a href=""https://www.last.fm/music/Neidhart+von+Reuental"">Read more on Last.fm</a>",1230,"Narbonne, Aude, Occitanie, France",1292 (aged 62),1650,Medieval,"['Oswald von Wolkenstein', 'Walther von der Vogelweide', 'Gacian Reyneau', 'Andrea da Firenze', 'Bartolino da Padova']",[],"['Neidhart von Reuental - Kint, Bereitet Iuch Der Sliten Uf Das Is ... Schlittenlied', 'Neidhart von Reuental - Sinc, ein Guldin Huon', 'Neidhart von Reuental - Sing ein guldein hun', 'Neidhart von Reuental - Blozen wir den anger ligen sahen', 'Neidhart von Reuental - So blossen wir den anger nie gesahen', 'Neidhart von Reuental - Owe dirre not', 'Neidhart von Reuental - Ich het an si gewendet', 'Neidhart von Reuental - Owê dirre nôt (Minnesänger, Holy Roman Empire, 13th c.)', 'Neidhart von Reuental - Ich sahe die haide', 'Neidhart von Reuental - Mayenzeit one Neidt']",Neidhart von Reuental,/wiki/Neidhart_von_Reuental
"['Peire Cardenal - Music at the time of the Crusades', 'Peire Cardenal - Ensemble Unicorn, Music Of The Troubadours', 'Peire Cardenal - Songs of Chivalry', 'Peire Cardenal - Music of the Troubadours', 'Peire Cardenal - Music from the Time of the Crusades']","Peire Cardenal (c. 1180–c. 1278) was a troubadour (fl. 1204–1272) known for his satirical sirventes and his dislike of the clergy. Ninety-six (96) pieces of his remain, a number rarely matched by other poets of the age. <a href=""https://www.last.fm/music/Peire+Cardenal"">Read more on Last.fm</a>",1180,"Le Puy-en-Velay, Haute-Loire, Auvergne-Rhône-Alpes, France",1278 (aged 98),301,Medieval,"['Marcabru', 'Giraut de Bornelh', 'Jaufre Rudel de Blaye', 'Berenguier de Palou', 'Jehan De Lescurel']",[],"[""Peire Cardenal - L'agonie du Languedoc - Razos es qu'ieu m'esbaudei - 2000 Remastered Version"", 'Peire Cardenal - Bujo (instrumental)', 'Peire Cardenal - Now I can delight in love', ""Peire Cardenal - Razos es qu'ieu m'esbaudei"", 'Peire Cardenal - Ar me puese', 'Peire Cardenal - Tartarassa Ni Voutor', 'Peire Cardenal - Rics hom que greu ditz vertat a leu men', 'Peire Cardenal - Ab lo cor triste', 'Peire Cardenal - Un sirventes novel voill comensar', 'Peire Cardenal - Clergue si fan pastor']",Peire Cardenal,/wiki/Peire_Cardenal
"['Gautier de Coincy - Miracles of Notre-Dame', 'Gautier de Coincy - De Coincy: Les miracles de Nostre-Dame', 'Gautier de Coincy - (null)', 'Gautier de Coincy - Minnesanger & other Courtly Arts', 'Gautier de Coincy - Early Music Masterpieces']","Gautier de Coincy (1177 - 1236), French abbot, poet and musical arranger. While he served as prior of Vic-sur-Aisne he compiled Les Miracles de Nostre-Dame (known in English as The Miracles of Notre Dame or The Miracles of Our Lady) in which he set poems in praise of the Virgin Mary to popular melodies and songs of his day. <a href=""https://www.last.fm/music/Gautier+de+Coincy"">Read more on Last.fm</a>",1177,,25 September 1236 (aged 59),843,Medieval,"['Music of the Middle Ages', 'Adam de la Halle', 'Neidhart von Reuental', 'Francesco Landini', 'Bernart de Ventadorn']",[],"[""Gautier de Coincy - Efforcier m'estuet ma voix"", ""Gautier de Coincy - Efforcier m'estuet ma voiz (instrumental)"", 'Gautier de Coincy - Ma viële', 'Gautier de Coincy - Puisque voi la fleur novele', ""Gautier de Coincy - Hui matin a l'ajournee"", 'Gautier de Coincy - Entendez tuit ensemble', 'Gautier de Coincy - Ja pour yver', 'Gautier de Coincy - Hyer matin a l’enjornee (The Art of the Trouvères, Northern France, 12th & 13th c.)', 'Gautier de Coincy - Ma viele', ""Gautier de Coincy - S'amour Dont Sui Espris""]",Gautier de Coincy,/wiki/Gautier_de_Coincy
"['Peire Vidal - Troubadours', 'Peire Vidal - Constantinople: Li Tans Nouveaus', 'Peire Vidal - A Troubadour in Hungary', 'Peire Vidal - Alfonso X: Cantiga No. 109 / Bernger Von Horheim: Nu Enbeiz Ich Doch Des Trankes Nie / Vaqueiras, R.: Kalenda Maya (Codex Manesse) (I Ciarlatani)', 'Peire Vidal - (null)']","Peire Vidal (c.1160 - 1205?)  Troubadour, born in Toulouse; active from 1175 onwards not only in Provence, Spain and northern Italy but also at the Hungarian court. Apparently an eccentric character, he exploited the esoteric style known as the 'trobar clos'; thirteen of his forty poems have surviving melodies. Bim pac d'lverucovers a remarkable range of almost two octaves. Performers:Fraternitas Musicorum, Hungary dir. Gergely Sárközy Reconstructed and edited from medieval manuscripts by Zoltan Falvy <a href=""https://www.last.fm/music/Peire+Vidal"">Read more on Last.fm</a>",1175,"Toulouse, Haute-Garonne, Occitanie, France",1206 (aged 31),372,Medieval,"['Gaucelm Faidit', 'Marcabru', 'Raimbaut de Vaqueiras', 'Comtessa de Dia', 'Bertran de Born']",[],"['Peire Vidal - Vida et Razos', 'Peire Vidal - Baros, de mon dan covit', 'Peire Vidal - Anc no mori per amor ni per al', 'Peire Vidal - Pos tornatz sui en Proensa', ""Peire Vidal - Pos vesem que l'iverns s'iral"", 'Peire Vidal - Baron, de mon dan covit', 'Peire Vidal - Pos tornatz sui', 'Peire Vidal - Peire Vidal - S’ieu fos en cort', 'Peire Vidal - A per pauc de chantar', 'Peire Vidal - Ges pel temps fer e brau']",Peire Vidal,/wiki/Peire_Vidal
